,0
1,4.116831326965168
2,3.8100041842335464
9,6.180134476103471
10,3.1640819998143663
12,3.7420813601473233
13,3.2275616525325646
14,8.183482912383049
15,2.710211503302681
16,8.551247907698228
18,3.7035855898583687
19,4.005114878486518
20,3.150925461017729
21,4.25132957952356
22,8.629443693302791
23,8.276701759782103
24,3.013758436275302
25,5.411307561056163
27,5.18035741851959
28,3.1697663881089793
29,6.723326125765298
30,6.159486614604651
31,4.416636742652352
32,3.5790094387678306
33,3.0485666695317324
34,6.966615981561802
35,4.047482482037177
36,4.36505510455417
37,7.420688563855842
38,9.158447916982382
39,9.38344400397098
40,3.131446900718653
41,3.6582696085478497
43,3.314370610671995
47,8.72975522844093
48,6.441581032562421
50,6.454065878540769
51,6.236021184433127
52,9.396777927599786
53,4.808653143932781
54,4.039020941918396
55,3.183568925576267
56,3.087282484059231
58,3.194722153417767
59,5.825993670978993
60,10.942433969912367
70,2.8580412108121416
71,12.41935710289632
72,3.31930131890091
81,5.926879057894366
86,9.791784445079404
87,7.276868608078913
88,2.945630124589211
89,3.1505780694084735
90,4.886665495233912
91,4.219174847930385
92,4.482465233445284
93,5.13293252744918
94,3.341613639781555
97,7.148722255344451
98,3.2395498395248703
100,7.080407465869575
101,3.4638024541970824
102,5.913021015979088
103,6.546890952733747
104,4.098093416282628
105,2.8130414326134097
107,4.461009286890368
108,2.931857171743055
109,7.317741243698976
111,2.984701280636609
112,4.4166796138186735
113,4.140771756263067
114,3.0944811735802418
115,3.794898107768324
116,3.1675222698954424
117,3.4499256159721416
118,5.38695084712929
119,3.276029329392101
120,7.920869031353788
123,6.585234730885421
124,2.9288346931655136
125,2.838403018157714
126,3.2182605803064086
127,2.7986712459957848
128,8.197708156476578
130,3.1556881965911296
131,3.0015209323800804
132,5.939935609393088
133,6.095953530585117
134,3.09129044727065
136,6.349969704453955
140,2.945068679145852
141,3.0195199012895646
142,7.1512003859936035
143,4.120251057457744
146,3.0719302596812508
147,2.925448323291691
148,2.863891516923929
150,3.3866502504091445
151,3.1760464627477356
152,4.008260398682958
153,3.4047209899345803
154,4.8084358782234355
155,2.9340921138465514
156,3.8821783811596493
157,4.23473311240886
158,9.907376515144563
159,7.885133130492781
160,3.805442820125819
161,5.157455729183675
162,5.380605115505134
163,7.727133525089307
164,4.664293527297545
165,5.2099694611457865
166,7.6927906965945505
167,2.688506833416715
173,3.017511306317764
174,2.8636542298897143
175,6.332661486811604
176,3.048466358952831
177,3.4792850592095927
178,5.79240477676562
181,2.9767611383130133
182,4.2596890327984145
183,3.3280409573547707
185,2.8728339697092853
186,2.815452690729532
187,3.0042004361949326
189,3.2298143884431223
190,3.456027165315545
191,8.82941809533906
196,5.460661659605582
197,2.9700847089810702
199,3.565933002895673
203,6.313401417346723
204,6.411975150419478
205,7.291097265970175
207,4.666463313350964
208,3.8346010933964996
210,4.817653938963094
211,7.649886086106063
212,2.8912577523618896
213,2.8738712819687513
214,5.6484716886740465
215,3.5040846458585784
216,5.179336056600616
217,6.572889373434544
218,4.018118104736143
219,5.295559727503176
220,4.455980915536215
221,4.94083509098096
222,3.1312979514064248
223,8.015932879863406
224,6.521164825774648
225,2.6688905970299475
226,11.274906214287537
229,3.0079606221841297
230,5.5985611356577305
238,3.220115515684317
239,3.073713704889723
240,3.1895503284409714
241,4.200423056894039
242,3.352486685620582
246,3.0131537667901838
247,2.866704016690942
248,2.92532908680722
249,3.0539906429629
250,3.0467844093993097
251,3.2723524831372153
257,2.9987929412110326
258,3.1037160547359854
259,3.248336151721274
262,8.09556133320264
265,3.536091725475892
266,3.0452711428271
267,6.817267640425822
268,3.5141868612281653
269,3.05197780045797
270,2.9562953832311276
271,4.364372621857233
272,3.5902305910486034
273,3.394787854417771
274,6.161954324685097
275,3.596560865050439
283,3.8496136758174466
284,3.619250941968847
285,2.8262393678356488
286,3.398650574886656
287,3.3103717012659613
288,5.010957203199477
290,3.856125144550612
291,6.04134878900776
292,11.815619846012444
293,9.818108147099696
301,8.453358325171486
302,8.27507141694975
303,3.0493799159410475
305,4.011080772044478
306,5.805330558547686
307,8.170265519822633
308,10.082201213523394
309,6.4499264857851335
310,9.6374587208661
311,8.71830262012346
312,3.39434392789755
313,3.3118436595727445
314,3.3147618370174703
316,4.0648730444214385
317,3.6287871050993896
318,5.929711273688911
319,2.6502901762666657
320,3.051541149944113
321,3.951153462124817
322,3.8005216356911813
323,4.97511425232392
324,4.128003034330023
325,2.9646969468376487
326,2.9509069332293962
327,7.603773094469768
328,10.297308924529448
329,8.093026975024136
330,4.787017276736609
331,7.1793729223615
332,6.648354113954012
333,3.817804264453138
334,9.204975409530414
335,3.016307305936784
336,2.7417555147531387
337,3.0375019512451664
338,2.6448944784477932
339,3.1935918593904487
341,5.310190517886552
342,2.9566860224422493
343,3.316939399455664
345,2.9377999627975138
347,3.525052383441984
348,4.633337977274895
350,3.2118963269464844
351,8.585167108259808
353,9.20495027469789
354,2.9138681614073936
355,5.312746172055769
356,2.9965779736800573
357,3.5145152903183607
358,3.3263282139076487
359,3.105962844052809
360,4.216805612419928
361,2.760253385641738
362,3.510994228867497
363,2.986965691166698
364,3.123499670999895
366,3.0016485121997025
367,3.157424382441945
368,3.1193169962092893
369,4.877793096619535
372,5.923962701154825
373,4.965562012774472
374,4.7142115627914025
375,10.855197254180375
377,6.482583772507039
378,10.38520371404868
379,6.260503804145914
381,8.640747262725112
382,8.809717468963397
383,2.8050135203491977
384,5.51647504794213
387,10.252437731813677
388,3.919649116466967
389,8.122691382932263
390,6.447386456184249
391,6.364702446821244
392,5.409280139054591
393,4.393774893980206
394,6.217190930237117
395,3.111569671721272
396,6.28876352131253
397,6.700372199413215
398,3.152802274996964
399,4.164755149321831
400,7.46697236095121
401,3.1717245195464208
402,7.6307776034713575
403,3.8091734461883493
405,4.4057132887335095
406,4.816209245015917
407,2.9648123122429726
408,3.2574504740934787
409,4.769317127643677
410,3.380100691554193
411,3.3630103802529008
412,3.8917606818954043
414,3.940473888388253
415,3.7259286603768724
416,2.859798736778804
417,2.9684114477362193
419,2.9270198402824104
420,2.992026652081506
421,3.9244502512499406
427,7.64287625530626
429,3.5232453541760242
430,3.9565527378485874
432,3.4421566274444544
433,2.994864620434218
434,3.1222553656108394
435,6.360730373053107
438,2.907773749823986
439,6.861277545769688
440,9.978789187522601
443,3.06775847789554
444,5.590639987717021
445,8.682673429102316
460,3.426510020329838
